stim,ISI
a,5
a,7
a,7
a,7
a,8
a,9
a,4
a,6
a,7
a,8
a,9
a,9
a,6
a,9
a,6
a,6
a,4
a,5
a,7
a,9
a,7
a,8
a,8
a,8
a,5
a,7
a,5
a,5
a,8
a,8
a,9
a,8
a,8
a,6
a,4
a,7
a,4
a,4
a,4
a,6
a,5
a,5
a,4
a,4
a,5
a,6
a,4
a,9
a,8
a,5
a,7
a,9
a,9
a,6
a,4
a,6
a,5
a,6
a,7
a,9
a,6
a,5
a,4
a,8
a,7
a,9
a,5
a,6
a,4
a,8
a,6
a,8
a,8
a,5
a,9
a,9
a,5
a,7
a,8
a,5
a,4
a,7
a,7
a,6
a,8
a,9
a,6
a,5
a,5
a,6
a,5
a,6
a,6
a,4
a,9
a,9
a,4
a,8
a,7
a,4
a,9
a,4
a,7
a,5
a,4
a,7
a,6
a,7
a,9
a,4
a,5
a,7
a,8
a,8
a,9
a,4
a,6
a,8
a,9
a,7
a,6
a,9
a,4
a,5
a,5
a,5
a,4
a,6
a,4
a,7
a,7
a,7
a,7
a,5
a,6
a,5
a,4
a,8
a,6
a,6
a,9
a,4
a,6
a,5
a,4
a,8
a,7
a,6
a,9
a,5
a,4
a,5
a,4
a,8
a,9
a,9
a,8
a,9
a,4
a,4
a,9
a,7
a,8
a,6
a,7
a,7
a,8
a,7
a,8
a,8
a,6
a,9
a,8
a,5
a,6
a,9
a,8
a,7
a,9
a,5
a,7
a,9
a,5
a,5
a,9
a,5
a,7
a,9
a,4
a,4
a,4
a,6
a,7
a,4
a,7
a,5
a,6
a,5
a,7
a,8
a,7
a,4
a,4
a,7
a,5
a,8
a,4
a,7
a,5
a,8
a,6
a,6
a,4
a,9
a,8
a,9
a,9
a,4
a,7
a,9
a,6
a,8
a,8
a,5
a,6
a,8
a,9
a,6
a,9
a,6
a,5
a,8
a,4
a,8
a,6
a,6
a,9
a,8
a,5
a,7
a,9
a,7
a,8
a,6
a,4
a,4
a,4
a,8
a,5
a,6
a,7
a,5
a,6
a,7
a,5
a,5
a,5
a,6
a,4
a,9
a,7
a,9
a,5
a,4
a,6
a,4
a,6
a,4
a,8
a,4
a,9
a,5
a,5
a,7
a,8
a,7
a,5
a,8
a,7
a,6
a,7
a,8
a,9
a,9
a,9
a,7
a,9
a,6
a,4
a,9
a,7
a,8
a,4
a,9
a,6
a,8
a,8
a,8
a,6
a,5
